id,img,alt,titre,paragraphe,lien_decouvrir
1,"https://images.prismic.io/zenika-website/39dcc530-5168-4c40-b95f-bd6e9da894a0_headway-F2KRf_QfCqw-unsplash.jpg?auto=compress,format&rect=0,58,5472,3542&w=380&h=246&quot",image d'une conférence,"Matinales, webinars, conférences","Retours d'expériences clients, partenaires, découvrez en plus sur nos missions.",https://www.eventbrite.fr/o/zenika-11893938820
2,"https://images.prismic.io/zenika-website/924f773c-81ee-45b0-8bd4-3a7b46b2768b_Meetup-Logo.jpg?auto=compress,format&rect=255,0,3337,2160&w=380&h=246&quot",image du meetup,NightClazz et RemoteClazz,"Participez aux Meetups de notre communauté, en physique ou à distance.",https://www.meetup.com/fr-FR/pro/zenika-meetups
3,"https://images.prismic.io/zenika-website/26a8fa56-fac7-4d08-9016-a72d61c22783_patrick-tomasso-Oaqk7qqNh_c-unsplash.jpg?auto=compress,format&rect=0,58,5472,3542&w=380&h=246&quot",Plein de livre,Le blog Zenika,"Articles tech, agiles, bonnes pratiques, découverte, faites votre veille !",https://blog.zenika.com/
