id,img,alt,paragraphe,sous_titre,langage,lien_decouvrir,projet
2,https://images.prismic.io/zenika-website/7f07836f-5562-4fbf-83cc-ab5ec2179034_tomasz-frankowski-kBUfvkbFIoE-unsplash.jpg,image accélération,"Les KPIs Accelerate doivent être des indices de l'accélération dans une organisation mais ne doivent pas être des objectifs. Pour reprendre la main sur le déploiement d'Accelerate chez un géant Français du E-commerce, nous avons crée un parcours pour apprendre aux équipes à utiliser cette approche. Ce parcours est en cours de déploiement à l'échelle.",Déployer une culture Accelerate en quelques mois,"Accelerate, DevOps, Agilité, Coaching",,Le projet
4,https://images.prismic.io/zenika-website/ab661507-2b95-4872-9bc3-d0cc1dac97ae_nail-gilfanov-TuyneoFacJg-unsplash.jpg,sapin en fôret,"<strong>Le projet</strong><br> Arkéa a consulté Zenika pour mettre en place une démarche de co-R&D : sensibilisation au Green IT et à l'écoconception, production de prototypes fonctionnels, création d’application web d’inspiration LowTech, intégration d’outillages de mesure dans une plateforme d’intégration continue, constitution d’un référentiel de bonnes pratiques.",Mutualiser les activités de R&D sur la thématique du GreenI,"Green IT, formation, écoconception",,
7,https://images.prismic.io/zenika-website/902c80e1-cea4-4628-8113-eac5fb86aedf_cover_ref.png,picto Agilité,"Dans un contexte réglementaire de plus en plus exigeant, RCI Banque se tourne vers les technologies du Cloud afin de pouvoir apporter des réponses rapides et fiables à l'ensemble des demandes réglementaires. C'est en s'appuyant sur Confluent Cloud que RCI Banque oriente cette transformation du monde du batch vers un monde centralisé sur la donnée en mouvement.",S'assurer du bon suivi de ses clients dans le secteur bancaire,Confluent Cloud,,Le projet
5,https://images.prismic.io/zenika-website/22fdf801-9c1d-4544-bead-0a32e8a8f088_Votre+entreprise+est-elle+vulne%CC%81rable+aux+attaques+physiques+_+-+REX+Red+Team+GPTW+%281%29.png,pirate informatique,C'est la question que s'est posée la DSI de Great Place To Work® Franceavant de faire appel à l'équipe ZenSec de Zenika pour un test grandeur nature.<br>Dans ce cas d'usage vous apprendrez plus sur :<br>❓Ce qu'est une Red Team<br>🚩 Les enjeux et objectifs de la mission<br>🎯 Les cibles de la Red Team et préparation<br>✔️ Les résultats de la mission<br>,Red Team Chez Great Place to Work France,,https://codetheworld.zenika.com/hubfs/Votre%20entreprise%20est-elle%20vuln%C3%A9rable%20aux%20attaques%20physiques%20-%20REX%20Red%20Team%20GPTW.pdf,Mon entreprise est-elle vulnérable aux attaques physiques ?
3,https://images.prismic.io/zenika-website/03098c5d-0e17-4dc3-b72a-fec11e2284a7_dom-fou-YRMWVcdyhmI-unsplash.jpg,anphythéatre,"Après un premier Audit de son SI, ICES a confié à Zenika le développement d'une solution spécifique adaptée, unifiée et flexible pour automatiser certaines tâches administratives, permettre de répondre à des pics de demandes tout au long de l'année universitaire, et faciliter la collaboration entre les services administratifs et les étudiants.",Simplifier les processus administratifs pour permettre au personnel universitaire de se concentrer sur l'expérience des étudiants,"Google Kubernetes Engine, Google Cloud, API Gateway, UX",,Le projet
6,https://images.prismic.io/zenika-website/09ec9aee-8858-430a-aace-7cc4a6d8edbd_luka-vovk-EngLPePzg7U-unsplash.jpg,Un orage,"Une équipe de consultants a accompagné une célèbre compagnie d'assurances pour réaliser une première release du projet et sécuriser son déploiement. Parmi les missions réalisées : la mise en place de l'agilité dans l'équipe, d'une culture craftsmanship, la réalisation d'une interface web et la création d'API Rest.",Faciliter la souscription de contrats d'assurance contre les aléas climatiques,"Angular, Spring Boot, Gitlab, jenkins, reactiveX",,Le projet
8,https://images.prismic.io/zenika-website/57fcb879-61de-4763-adfa-e250e9233d2f_Cr%C3%A9er+une+application+au+service+de+la+marque+-+Cas+d%E2%80%99usage+D%C3%A9cathlon+Canada.jpg,"Codeur de l'entreprise Decathlon ",Décathlon Canada refond le site de son projet Décathlon Community et passe à React.js. Assez rapidement vient le besoin de se concentrer sur du natif avec une application mobile. La marque a fait appel à Zenika qui développe une première version sur iOS et Android en 6 mois avec React Native : mise en production en été 2019 pour le nouveau site et l’application.,,React Native,https://codetheworld.zenika.com/hubfs/Cr%C3%A9er%20une%20application%20au%20service%20de%20la%20marque%20-%20Cas%20d%E2%80%99usage%20D%C3%A9cathlon%20Canada.pdf,Le projet
1,https://images.prismic.io/zenika-website/82ab357d-b9fa-4760-b2b4-a651c2a89ff7_ryan-plomp-0iPebSCgKoA-unsplash.jpg,image écosystéme,"Pour une solution médicale connectée de monitoring d'électrocardiogrammes, nous implémentons pour Bioserenity une démarche DevSecOps et une campagne de tests d'intrusion (web, mobile, hardware). Nous les avons ensuite accompagnés dans les corrections à mettre en oeuvre, suivi d'un contre audit validant la correction des vulnérabilités",Challenger un écosystème technique médical connecté,"AWS, MQTT, STM32, Spring, Angular",,Le projet
