id,image,titre,paragraphe,alt
1,https://images.prismic.io/zenika-website/35b19466-11c4-45a0-b661-03b510013aca_Innovation.png,Recherche & Innovation responsable,"Avec nos partenaires, nous investissons sur les technologies futures pour créer de la valeur grâce au numérique et résoudre les défis sociétaux actuels",Recherche & Innovation
3,https://zenika-website.cdn.prismic.io/zenika-website/43ab311e-00c4-4f14-b7b7-54ea2f60fee4_Group+402.svg,Mécénat de compétences,"Permettre aux collaborateurs et collaboratrices d’apporter leurs compétences en s’engageant sur des projets associatifs responsables sur leur temps de travail, en partenariat avec <a href=""https://www.vendredi.cc/"" target=""_blank"" rel=""noopener"">Vendredi</a>.",Mécénat
2,https://zenika-website.cdn.prismic.io/zenika-website/1932fa04-cc7d-496b-b34e-d7bea399b844_Group+400-1.svg,Fonds de dotation,"Financer des associations qui utilisent le numérique dans les domaines de la santé, de l'environnement, de l'éducation, de la dynamique des territoires et de l'économie sociale et solidaire. En partenariat avec <a href=""https://www.latitudes.cc/"">Latitudes</a>.",Fonds de dotation
