id,logo,alt,nom
1,"https://images.prismic.io/zenika-website/efb6f4ba-c957-4955-98f0-0d8ae9ca3e09_gcloud.jpg?auto=compress,format&rect=287,0,630,630&w=112&h=112",logo google,Google Cloud Platform
2,"https://images.prismic.io/zenika-website/17e44d84-cb2c-42c0-a4ad-18eb91c94eb1_confluent.jpg?auto=compress,format&rect=442,55,316,316&w=112&h=112",logo Confluent,Confluent
3,"https://images.prismic.io/zenika-website/2c4b513b-4c49-484b-bdb9-c5e54b1e92c7_elastic.jpg?auto=compress,format&rect=0,0,400,400&w=112&h=112",logo Elastic,Elastic
4,"https://images.prismic.io/zenika-website/92d61deb-16fe-43e1-93e4-f99bda8b1534_logo+green+it+.png?auto=compress,format&rect=0,0,300,300&w=112&h=112",logo GreenIT.fr,GreenIT.fr
5,"https://images.prismic.io/zenika-website/cd5ba688-edda-4d9f-8f47-5d12185059a3_Spring_Framework-Logo.wine.jpg?auto=compress,format&rect=0,0,3000,3000&w=112&h=112",logo Spring,Spring
6,"https://images.prismic.io/zenika-website/41a774fc-ec1f-412d-95e5-29358f0b8f7c_scaledagile.jfif?auto=compress,format&rect=0,13,357,357&w=112&h=112",logo Scrum.org,Scrum.org
